Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.7756E-17,1.1102E-16,0.10722,0,0,0,667.25,21.308,3.2909E-08,4.9251E-16,21.308,-5.9676E-16,36.305,0,0,0,0,0,0,package://testarm_urdf/meshes/base_link.STL,0.61961,0.40784,0.2,1,0,0,0,0,0,0,package://testarm_urdf/meshes/base_link.STL,,Base-1,Base_Origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l1,-9.8841E-05,1.3203E-07,0.03302,0,0,0,103.33,2.3418,-6.0067E-07,0.00010868,1.8272,-1.2951E-06,1.6131,0,0,0,0,0,0,package://testarm_urdf/meshes/l1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://testarm_urdf/meshes/l1.STL,,anchor-1,J1_Origin,Axis1,j1,revolute,0.00011944,0,0.34027,0,0,0,base_link,0,0,1,300,3,0,3.1412,,,,,,,,
l2,4.3999E-12,0.0014837,0.17703,0,0,0,141.23,2.7406,-9.097E-10,-3.9887E-10,2.7555,0.011982,1.1047,0,0,0,0,0,0,package://testarm_urdf/meshes/l2.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://testarm_urdf/meshes/l2.STL,,arm-1,J2_Origin,Axis2,j2,revolute,-0.00011944,0,0.18012,0,0,0,l1,0,-1,0,200,3,-1.57,1.57,,,,,,,,
l3,-0.31293,-7.6425E-06,-0.064681,0,0,0,339.62,5.1137,-0.00069979,-8.6937E-16,14.561,8.2796E-17,16.141,0,0,0,0,0,0,package://testarm_urdf/meshes/l3.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://testarm_urdf/meshes/l3.STL,,link-1,J3_Origin,Axis3,j3,revolute,0,0,0.39751,0,0,0,l2,0,-1,0,300,3,0,3.142,,,,,,,,
